,T2M,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-08-29,32.91,12.87,0.0,3.32,26.76
2020-08-30,33.38,11.93,0.0,2.98,26.82
2020-08-31,33.37,10.57,0.0,2.03,26.7
2020-09-01,34.12,19.47,0.0,2.48,19.73
2020-09-02,34.03,18.49,0.0,3.08,20.27
2020-09-03,33.61,14.3,0.0,2.06,25.21
2020-09-04,34.71,12.82,0.0,2.05,24.28
2020-09-05,33.83,15.98,0.0,1.66,24.66
2020-09-06,33.4,14.82,0.0,2.76,25.67
2020-09-07,31.98,16.88,0.0,2.9,25.77
2020-09-08,32.88,17.48,0.0,1.95,25.6
2020-09-09,34.01,13.86,0.0,1.59,25.39
2020-09-10,33.95,14.09,0.0,1.99,23.86
2020-09-11,34.01,12.91,0.0,2.5,22.31
2020-09-12,33.17,12.84,0.0,2.84,25.82
2020-09-13,33.54,12.41,0.0,1.44,24.25
2020-09-14,35.49,12.58,0.0,0.84,22.27
2020-09-15,34.82,12.42,0.0,1.9,22.71
2020-09-16,32.62,11.52,0.0,2.02,24.67
2020-09-17,32.79,13.54,0.0,1.65,25.04
2020-09-18,32.22,15.64,0.0,1.88,24.5
2020-09-19,32.42,15.04,0.0,2.28,24.73
2020-09-20,32.27,13.4,0.0,3.22,24.59
2020-09-21,31.31,13.99,0.0,4.21,24.07
2020-09-22,30.8,17.01,0.0,3.47,24.47
2020-09-23,31.44,11.21,0.0,2.84,25.15
2020-09-24,32.29,10.81,0.0,1.87,24.92
2020-09-25,31.09,16.34,0.0,2.58,23.99
2020-09-26,32.04,15.72,0.0,1.79,24.09
2020-09-27,31.33,17.42,0.0,2.77,24.05
2020-09-28,30.84,17.32,0.0,2.52,23.3
2020-09-29,29.66,17.39,0.0,2.9,23.72
2020-09-30,29.59,14.25,0.0,2.39,24.36
2020-10-01,30.48,12.56,0.0,0.93,23.99
2020-10-02,31.18,12.54,0.0,1.34,23.44
